SUBJECT,COURSE,CRS_DTL_CD,SEC_NO,CRS_CREDIT,SEC_TRM_CD,MEETING_TYPE,SEC_ACTV_NO,SEC_NUM_LINKED_ACTV,DAYSMET,START_TIME,END_TIME,START_DATE,END_DATE,SEC_REL_TOT,SEC_ENR_TOT,MAX_ENROLLMENT,INSTRUCTOR_NAMES,SHORT_TITLE,LONG_TITLE,BUILDING,ROOM,CAPACITY,SEC_PUBL_FL,SEC_SES_YR,SEC_SES_CD,ADMIN_CAMPUS_CD,SEC_TYP_CD,REGISTRATION_STSTUAS,SECTION_STATUS,ACTIVITY_STATUS,CROSS_LISTED
MATH,101,,V01,3,2,LEC,1,2,M,8:00 AM,9:00 AM,01/04/2016,04/08/2016,225,74,150,"LEUNG, FOK-SHUEN",INT CALC AP PH S,Integral Calculus with Applications to Physical Sciences and Engineering,IBLC,182,154,Y,2015,W,UBC,REGU,Blocked,Complete,Scheduled,
MATH,217,,101,4,1,LEC,1,1,W,11:00 AM,12:00 PM,09/08/2015,12/04/2015,117,103,90,"COLLIANDER, JAMES",MLTVAR&VCTR CALC,Multivariable and Vector Calculus,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
MATH,256,,201,3,2,LEC,1,2,TR,2:00 PM,3:30 PM,01/04/2016,04/08/2016,135,136,120,"CYTRYNBAUM, ERIC",DIFF EQUATIONS,Differential equations,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
MECH,260,,T1B,3,1,TUT,2,2,W,10:00 AM,11:00 AM,09/08/2015,12/04/2015,128,118,120,"DE SILVA, CLARENCE WILFRED",MECH OF MATERIAL,Introduction to Mechanics of Materials,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PHIL,220A,A,002,3,1,LEC,1,1,TR,11:00 AM,12:30 PM,09/08/2015,12/04/2015,120,64,100,"AYDEDE, MURAT",SYMBOLIC LOGIC I,Symbolic Logic I,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PHIL,220A,A,005,3,2,LEC,1,1,MWF,12:00 PM,1:00 PM,01/04/2016,04/08/2016,100,88,120,"KOROLEV, ALEXANDRE",SYMBOLIC LOGIC I,Symbolic Logic I,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PHIL,230A,A,002,3,1,LEC,1,1,TR,3:30 PM,5:00 PM,09/08/2015,12/04/2015,120,80,120,"GUINDON, BRUNO",MORAL & POLI I,Introduction to Moral Theory,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PSYC,101,,002,3,1,LEC,1,1,MWF,9:00 AM,10:00 AM,09/08/2015,12/04/2015,125,123,125,"LAM, MARK",BIO COG PSYCH,Introduction to Biological and Cognitive Psychology,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PSYC,102,,003,3,2,LEC,1,1,MWF,9:00 AM,10:00 AM,01/04/2016,04/08/2016,125,121,125,"LAM, MARK",DEV SOC CLI PSY,"Introduction to Developmental, Social, Personality, and Clinical Psychology",IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PSYC,208,,901,3,2,LEC,1,1,T,5:00 PM,8:00 PM,01/04/2016,04/08/2016,150,81,151,"PERRINO, ANDREA","SOC, DEV, CLIN","Contemporary Topics in Social, Developmental, Personality, and Clinical Psychology",IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
PSYC,302,,002,3,1,LEC,1,1,TR,2:00 PM,3:30 PM,09/08/2015,12/04/2015,140,128,131,"WOJCIK, ERICA",INFANCY,Infancy,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
SOCI,240A,A,002,3,1,LEC,1,1,MWF,3:00 PM,4:00 PM,09/08/2015,12/04/2015,120,87,120,"KOLPASHNIKOVA, KAMILA",SOCL INTERACTION,Introduction to Social Interaction,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
VISA,110,,001,3,1,LEC,1,2,M,6:00 PM,7:00 PM,09/08/2015,12/04/2015,140,134,150,"D'ONOFRIO, CHRISTINE",DIG MEDIA STUDIO,Studio Three: Digital Media,IBLC,182,154,Y,2015,W,UBC,REGU,Blocked,Complete,Scheduled,
VISA,110,,227,3,1,LEC,1,2,M,5:00 PM,6:00 PM,09/08/2015,12/04/2015,100,94,100,"D'ONOFRIO, CHRISTINE",DIG MEDIA STUDIO,Studio Three: Digital Media,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
VISA,183,,002,3,2,LEC,1,2,T,1:00 PM,2:00 PM,01/04/2016,04/08/2016,120,86,120,"JAMES, GARETH",MEAN&MTRL STUDIO,Studio Two: Meanings and Materials,IBLC,182,154,Y,2015,W,UBC,REGU,,Complete,Scheduled,
